"","iNeuron","eNeuron","Olig","microglia","endo_mural","astrocytes"
"31",0.0258165385274754,0.474065119686208,0.00390925721626117,0.0267243812191149,0.362506190725479,0.106978512625461
"35",0.0431780604224394,0.575896091526884,0.0138444674794153,0.0512480376241264,0.22946524773363,0.0863680952135045
"36",0.0317400270453461,0.64350106540978,0.0166608821113704,0.0510046705941489,0.129930160319936,0.127163194519418
"37",0.0237495392634779,0.69571802968767,0.011763685933247,0.0644601898249617,0.0781437900478366,0.126164765242807
"38",0.018164613681714,0.504168055250346,0.00551636912188835,0.0236117253430869,0.0371899922335131,0.411349244369452
"42",0.0512720269977917,0.568554669021498,0.0113393451958558,0.0660501612795591,0.0879172139703037,0.214866583534992
"43",0.0399388187688094,0.582980642701796,0.0195771021851953,0.0547464424197201,0.101372335119727,0.201384658804752
"44",0.0337520976767776,0.619799706133386,0.0145910248974414,0.044540289143393,0.108856113650041,0.178460768498961
"45",0.0346091984836268,0.590124458212017,0.0101622491244527,0.0305068094143925,0.1538253745297,0.180771910235811
"49",0.133707042206554,0.593978303549632,0.0172138220722668,0.0639890014546422,0.077336413273173,0.113775417443732
"50",0.119497101220316,0.511917519310931,0.0261154962993496,0.0919101005422721,0.13525511478134,0.115304667845791
"51",0.120548093985163,0.503557256262449,0.0263774084973491,0.0365101050512792,0.1943517979488,0.11865533825496
"52",0.157717354082132,0.623591087719763,0.0117480325018906,0.0223196269705849,0.0429707163985583,0.141653182327071
"56",0.0682639208887072,0.591478254816631,0.0165888118220229,0.0474949192532027,0.121348799096818,0.154825294122618
"57",0.111083271669549,0.618718851406655,0.0239275885758,0.0542290880539549,0.0816637874544017,0.110377412839639
"58",0.0900970813682068,0.552968984551353,0.00969134730184566,0.0355941103002096,0.0551579330357292,0.256490543442655
"59",0.169143161282726,0.664699501251692,0.0104584493544887,0.0311858284475135,0.037207141095355,0.0873059185682248
"63",0.0551236117776718,0.64529716223012,0.0150781714117077,0.0621634850881192,0.126152129494641,0.0961854399977407
"64",0.0577501083111407,0.670140713232705,0.0113393979049438,0.0478891530106591,0.0788236056498081,0.134057021890744
"65",0.0585392677390427,0.656732425273342,0.0118109732704941,0.0385973465523103,0.0805925255774704,0.153727461587341
"66",0.168854506732345,0.69327507100704,0.00758948077767934,0.031830483102544,0.0320266153517257,0.0664238430286658
"70",0.0467065825371174,0.628305481236857,0.0902100441073027,0.0630638884028099,0.0712625214791402,0.100451482236773
"71",0.0536775425702686,0.461261900856942,0.0106037604852392,0.0493385925016873,0.289696690898005,0.135421512687858
"72",0.0441831639384075,0.57447857766404,0.0441406053450507,0.0398882381895397,0.0738347597453439,0.223474655117618
"73",0.304312806205783,0.394780211618868,0.0173299467878852,0.0557549211973025,0.0681672892332807,0.15965482495688
"77",0.0829674242141186,0.612849314141343,0.0179356772178835,0.0626607292719873,0.132189382208272,0.0913974729463963
"78",0.0666132272373215,0.537908989206177,0.0124478966404371,0.0706890667936398,0.20466422927566,0.107676590846765
"79",0.0647552187048284,0.704252255258141,0.0203029241592408,0.0682256748594813,0.082517002397779,0.0599469246205296
"80",0.0336179203385991,0.622500555051537,0.0139296601708855,0.0506129137586428,0.0715318423008541,0.207807108379481
"81",0.0527766506929172,0.58423842311031,0.0346434757195733,0.0473265126001109,0.184281449324662,0.0967334885524262
"82",0.0564333685870174,0.713926339086165,0.0149943847069307,0.0546680425598317,0.0707876380996822,0.0891902269603728
"83",0.0560960112063456,0.604694690544181,0.012327346099662,0.0472210021213864,0.0346636104526063,0.244997339575819
"84",0.05092705714978,0.551715930392559,0.045996897788124,0.0660972327038358,0.07451188836756,0.210750993598141
"85",0.0993693626922479,0.498139470993175,0.02043541434115,0.0543793619001056,0.135246440279689,0.192429949793632
"86",0.0315255121539501,0.639633814717609,0.043844599335539,0.0694556200621726,0.0978553424654822,0.117685111265247
"87",0.0411035089283641,0.524788181941646,0.026663042671893,0.0743276562565319,0.135415428803872,0.197702181397693
