barcode,Olig,eNeuron,iNeuron,endo_mural,microglia,astrocytes
0,0.15087085913623915,0.0419905668612117,0.01196623125436214,0.49623628779372697,0.08328480511634621,0.21565124983811368
1,0.184754397401836,0.052442086859184424,0.1257517515696198,0.2982634566619211,0.16262693464636896,0.1761613728610697
2,0.1545926119244966,0.06532660341254119,0.05418449829860233,0.3020532814811033,0.18922403063715101,0.23461897424610564
3,0.1649682422789569,0.054152562921697074,0.13689758556521808,0.23680590056562215,0.2357390288984115,0.1714366797700943
7,0.20131983260914985,0.09804518985553769,0.06238205326046078,0.2799898990305106,0.1651801086909518,0.19308291655338933
8,0.1903248767420648,0.06923941487203394,0.10228500643983232,0.29042251305678585,0.1792106523838295,0.16851753650545356
9,0.20621028344816184,0.08707093471471374,0.09335118169875019,0.27057724068377437,0.15598740441965647,0.1868029550349434
10,0.1971848136688985,0.09734743379868077,0.1228699611328188,0.26498828334106356,0.16253330157075987,0.15507620648777842
14,0.20358627416993144,0.09950326162776589,0.0834946820401644,0.2589108993894417,0.17810782901921426,0.17639705375348225
15,0.1986931397759974,0.09986151267349871,0.07483031113616505,0.2862015069262636,0.17863041113780698,0.16178311835026815
16,0.2114979157541997,0.10517634613786508,0.06827927663311305,0.25451609339698333,0.1786501786816093,0.18188018939622955
17,0.20279259622897514,0.11562186682562915,0.06995851233539453,0.2857585132935977,0.16074342587316945,0.16512508544323404
21,0.20325966075181193,0.10136244777951424,0.05068930985407411,0.303343894635128,0.16136789131189794,0.17997679566757382
22,0.21360113245234844,0.10739721863876638,0.06625909038831276,0.2805383767690584,0.14875017512770422,0.18345400662380967
23,0.18985404575866693,0.10335242016672665,0.08077614884288017,0.262400544419832,0.18696475009408933,0.1766520907178049
24,0.188602167348864,0.13001590642939545,0.06341967549827328,0.3136952859503854,0.1376818605267659,0.16658510424631598
28,0.19582310337788325,0.09987751961015656,0.07019835435721852,0.28647661686262094,0.16563313807916685,0.18199126771295368
29,0.2025218925979645,0.10842611495214079,0.07227205749124924,0.2586786588526622,0.18030530772089107,0.1777959683850922
30,0.1901150801765154,0.11982305869371652,0.07115967391262476,0.2630030617354491,0.1700005677677013,0.185898557713993
31,0.18513005052563936,0.12406510781662033,0.058631837363747524,0.2614429124853847,0.15374373535006278,0.2169863564585452
35,0.17717657703066164,0.10597608746445857,0.08357119452810595,0.27356394948427837,0.16882937569442338,0.19088281579807212
36,0.2065219262787754,0.11742026322239865,0.06586328292487588,0.2755995844728333,0.15966191242337685,0.17493303067773996
37,0.20549999308129624,0.11471490272579299,0.05370681770497525,0.2681338460088963,0.17345805483226942,0.18448638564676975
38,0.18519009046507576,0.13261804199315486,0.054467803591967734,0.25650318766947916,0.15193429910773315,0.21928657717258956
42,0.18059472037885704,0.11105280820411596,0.07283966947698495,0.27758814222585165,0.17998392345624853,0.17794073625794207
43,0.18338463209398734,0.0962604170800133,0.07628938074862926,0.2839093179377746,0.1546385085241017,0.20551774361549383
